TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
statechart.Sensor_Component,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6764890282131661,211,111
statechart.mrw.statechart.SignalSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9002943340691685,172,151
statechart.mrw.statechart.Signal,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5182313985196728,215,95
statechart.SignalcontrolSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7475247524752476,322,142
statechart.Signalcontrol,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6364836483648365,388,193
statechart.mrw.statechart.SignalControllerSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7322472848788638,823,314
statechart.mrw.statechart.SignalController,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5057213741424268,887,244
statechart.SmartFireSystemSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4604639435199193,714,218
statechart.SmartFireSystem,BRANCH;METHODNOEXCEPTION;OUTPUT,0.47953999368967776,953,414
statechart.SmartHubSystemSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4062370062370062,1169,291
statechart.SmartHubSystem,BRANCH;METHODNOEXCEPTION;OUTPUT,0.3412622299719074,1416,494
statechart.SmartLightHUBSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.3988203411445879,665,183
statechart.SmartLightHUB,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4254000303356939,816,317
statechart.SmartLightSystemSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4637488947833776,560,169
statechart.SmartLightSystem,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5409566879323804,709,302
statechart.SmartMicrowaveSystemSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4634615384615384,558,168
statechart.SmartMicrowaveSystem,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5430692621741737,716,302
statechart.SmartTrafficLightSystemSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5025819488100584,553,209
statechart.SmartTrafficLightSystem,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5145519051581987,728,314
statechart.SmartTVSystemSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.46445896445896445,556,169
statechart.SmartTVSystem,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5318360919846944,718,306
statechart.StatechartSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.906810035842294,76,68
