TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
statechart.Test_remove_unnecessary_nesting_orthogonal_state,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9487179487179488,131,122
statechart.Test_remove_unnecessary_nesting_transfer_transitionsSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.869538077403246,104,83
statechart.Test_remove_unnecessary_nesting_transfer_transitions,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9217228464419476,111,98
statechart.Test_remove_unreachable_states_expectedSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9066437571592211,111,99
statechart.Test_remove_unreachable_states_expected,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9460481099656358,118,111
statechart.Test32Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8597069597069597,115,101
statechart.Test32,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7175624375624375,138,84
statechart.Test41Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8402140672782874,127,100
statechart.Test41,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9692490655793408,145,140
statechart.mrw.statechart.TrackerSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8625730994152048,188,145
statechart.mrw.statechart.Tracker,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5516569200779727,207,79
statechart.TrafficLightSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7944444444444444,209,149
statechart.TrafficLight,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6907834801093228,247,126
statechart.TrafficLight_UnitSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7992530345471521,386,286
statechart.TrafficLight_Unit,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7020975056689341,438,191
statechart.TrafficLightCtrlSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8398043641835967,468,385
statechart.TrafficLightCtrl,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6615743590912891,521,190
statechart.TrafficLightCtrl1Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7319088319088319,378,198
statechart.TrafficLightCtrl1,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6803411693420012,404,144
statechart.TrafficLightStateMachineSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8752354048964218,253,203
statechart.TrafficLightStateMachine,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5552678384599289,287,108
statechart.TrolleySimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8070175438596491,592,356
statechart.Trolley,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5925372963964889,681,256
statechart.TV_UnitSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7894645941278066,223,156
statechart.TV_Unit,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5810305123776627,243,98
statechart.TwoWayTrafficControlSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5708874458874459,253,95
statechart.TwoWayTrafficControl,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6444431462468295,278,121
statechart.TwoWayTrafficControl2Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8291562238930661,154,107
statechart.TwoWayTrafficControl2,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8059307105108632,176,128
statechart.Ultrasonic_MotionDetectorSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4962490622655664,436,139
statechart.Ultrasonic_MotionDetector,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6128382384196338,560,255
statechart.Ultrasonic_SensorSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.826031746031746,206,169
statechart.Ultrasonic_Sensor,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7368067226890757,277,168
statechart.mrw.statechart.UpdateSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.821563088512241,255,167
